Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls
2,1,1,2,5,5,3,1,3,3,3,3,1,1,4,4,4,2,2,4,4,4,2,1,1,1,4,4,4,4,1,1,3,5,3,5,2,3,5,4,3,4,3,4,4,4,3,4,4,3,2,4,3,4,1,1,4,3,4,4,2,3,3,3,2
1,2,4,1,1,1,4,2,1,3,4,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,4,4,5,3,4,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,4,4,1,4,2,1,4,5,4,1,4,5,5,5,2,5,5,4,2,1,1,5,5,5,1,5,1,1,1,2,2,4,4,1,5,3,1,2,1,5,3,5,5,4,4,2,4,2,4,2,4,2,5,4,1,4,4,1,4,5,1
1,1,1,3,1,1,1,1,1,1,1,5,4,2,4,5,1,5,5,1,1,3,5,1,4,5,5,5,1,3,1,1,5,3,1,2,1,1,1,4,3,3,2,5,3,4,3,1,2,3,2,2,5,2,5,1,5,5,4,3,3,4,3,4,1
1,2,1,2,1,4,2,1,2,2,3,2,3,1,3,4,4,4,4,2,4,1,2,4,3,3,5,3,1,3,5,3,4,5,2,2,3,4,4,3,2,2,3,3,2,2,3,4,3,2,4,1,1,4,5,2,3,4,4,3,5,3,3,3,3
2,1,1,1,2,2,2,3,2,3,3,4,4,5,3,4,4,5,4,2,5,3,3,2,4,5,4,5,1,5,4,4,5,5,4,5,2,5,4,3,2,4,2,4,5,3,3,3,3,4,4,3,3,5,3,3,4,4,3,3,2,3,4,3,3
4,2,5,1,1,1,3,1,,1,3,5,1,3,5,3,1,5,2,1,5,5,2,4,1,4,4,5,1,3,1,5,5,2,1,5,3,1,5,3,1,5,1,1,5,3,1,1,3,3,2,5,3,4,3,4,5,5,5,3,4,1,5,5,1
1,1,2,4,5,3,2,5,4,2,3,1,2,3,2,2,1,4,5,3,4,2,5,1,2,3,2,4,1,5,2,1,5,4,5,2,1,4,3,2,2,1,3,2,5,4,1,4,3,4,4,4,2,1,3,5,2,3,4,4,2,2,1,2,2
3,1,3,2,1,4,4,1,3,4,2,4,1,1,1,4,3,2,3,2,4,5,3,4,2,1,4,4,2,4,3,3,3,4,4,4,3,4,2,3,2,3,2,4,3,4,1,4,5,3,5,4,4,4,3,2,3,3,5,3,4,5,2,3,2
1,1,2,4,4,4,1,2,1,2,4,3,1,2,2,3,3,3,4,4,4,5,2,4,3,4,5,5,3,5,2,3,5,3,3,2,3,2,4,4,1,3,2,3,4,5,4,3,3,3,4,1,4,4,4,2,4,4,3,3,2,4,3,3,5
2,2,2,3,5,4,5,1,5,5,3,2,1,3,2,2,3,2,4,2,5,3,4,5,2,1,4,4,4,5,4,2,5,4,5,5,2,5,5,2,3,5,2,4,5,5,2,2,4,2,2,4,3,5,5,5,2,2,3,2,4,5,3,3,1
2,4,3,1,4,4,1,2,3,3,3,1,4,5,4,3,3,4,5,3,5,3,1,3,3,5,3,4,1,5,2,2,3,4,3,3,3,3,5,3,3,3,2,3,5,4,3,3,1,4,3,4,4,5,5,4,3,3,1,3,3,4,4,3,3
1,1,3,,3,3,3,1,1,1,3,3,3,4,3,3,4,4,4,1,1,2,1,2,2,2,2,4,1,2,2,2,4,4,2,3,3,3,1,4,2,3,3,3,3,3,4,2,2,5,4,4,4,1,4,4,4,4,,3,5,2,3,4,4
1,1,2,2,5,5,1,3,5,5,3,3,3,5,4,3,1,5,4,3,4,4,1,1,3,5,4,2,1,5,1,2,3,4,2,3,3,2,1,4,1,4,3,5,4,4,3,2,3,1,3,3,5,5,5,2,4,5,1,3,4,2,4,4,3
1,1,4,5,5,5,3,5,5,2,3,5,1,3,2,3,2,5,5,5,3,2,3,1,5,5,5,5,2,3,1,3,3,5,5,5,4,3,3,3,3,3,2,3,3,5,3,3,3,1,3,3,4,3,5,3,4,2,1,3,3,3,3,3,5
4,2,5,5,5,5,1,3,5,4,2,3,1,1,1,5,3,3,4,1,5,3,2,1,5,5,5,3,1,5,2,4,5,5,5,2,4,3,5,3,1,1,3,1,4,4,2,3,5,3,1,3,1,5,5,5,2,1,2,2,3,5,1,4,4
3,1,2,4,3,5,3,2,2,4,2,3,1,3,1,5,3,4,4,1,5,2,4,1,5,2,4,4,5,5,3,3,5,5,4,3,5,3,4,3,1,1,4,3,3,4,1,2,4,4,4,2,2,3,5,5,3,3,3,3,3,3,2,4,2
2,1,1,1,2,1,1,2,1,3,3,4,3,3,5,4,2,4,4,3,3,2,2,1,4,4,3,3,2,3,1,2,5,5,3,2,3,2,1,4,2,2,2,2,3,2,4,3,4,2,3,2,2,4,3,3,5,3,3,3,4,2,3,3,5
4,2,1,2,2,4,1,1,2,3,3,2,4,5,2,5,4,4,4,5,3,2,2,5,3,1,5,5,2,5,2,1,4,5,2,4,4,3,5,3,2,2,4,4,4,4,2,4,4,5,2,4,4,3,3,4,5,5,4,3,2,5,1,4,5
1,1,2,1,1,4,4,1,1,2,2,5,2,1,5,5,1,5,4,5,3,5,4,1,1,5,5,5,1,3,1,1,1,2,2,1,2,2,1,3,1,1,4,5,1,2,4,3,3,3,5,1,3,1,3,1,4,2,3,4,1,1,1,2,5
1,1,1,2,1,2,3,2,3,3,2,4,4,2,5,4,2,3,4,3,2,5,2,1,3,1,4,3,1,4,4,2,5,4,2,5,2,1,4,4,1,3,3,4,3,3,4,2,3,4,3,3,5,4,3,1,4,4,4,4,1,3,4,2,3
4,2,1,2,2,4,3,2,2,2,3,4,4,4,5,2,5,4,5,1,5,4,2,3,3,5,5,4,1,4,2,4,5,5,2,5,3,2,5,4,2,3,3,3,3,2,2,3,4,4,4,4,3,2,3,4,4,4,4,3,4,3,3,3,4
2,2,1,1,1,1,1,3,2,4,3,1,2,3,3,3,1,4,4,3,4,3,2,2,3,2,2,3,2,3,2,3,4,4,3,4,3,2,3,4,2,3,4,3,4,3,2,3,3,2,2,2,3,2,3,5,3,2,3,3,3,3,2,3,4
1,1,1,2,1,1,1,1,2,1,4,4,2,2,3,4,2,4,4,1,2,3,1,1,2,3,5,3,1,3,2,4,2,4,2,2,2,2,1,4,4,4,4,4,2,3,2,3,1,4,4,1,3,2,4,1,3,4,5,3,3,3,4,3,2
3,2,2,2,4,3,2,4,4,3,3,4,3,5,5,4,2,4,4,2,4,4,2,3,3,5,4,3,2,5,4,4,5,5,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,5,4,3,4,4,4,4,4,5,3,3,3,5,5,4,4
4,3,5,4,1,4,4,4,5,3,3,3,5,5,3,4,3,5,4,3,3,3,3,1,5,5,4,4,1,4,1,5,3,5,4,3,4,3,3,3,1,2,1,4,5,4,4,3,4,3,3,5,3,5,4,4,3,3,1,3,1,2,2,3,3
1,2,2,2,2,2,2,4,2,2,1,4,2,1,1,4,3,4,4,2,3,3,2,1,3,5,5,4,2,3,4,2,4,5,3,5,2,3,3,3,3,3,3,4,4,3,3,2,2,3,3,2,3,2,3,4,3,3,5,3,1,5,4,2,5
1,1,1,3,1,1,1,5,5,5,5,5,1,3,3,2,1,4,4,5,5,2,1,1,5,1,3,3,5,5,2,3,3,5,5,1,2,5,5,4,3,1,5,5,5,5,3,3,1,3,1,3,5,1,5,5,5,5,1,3,4,3,5,3,5
2,4,4,2,2,1,2,3,1,3,3,2,3,4,1,2,5,4,3,3,5,2,2,1,3,5,4,5,2,5,1,2,5,5,2,3,3,2,5,3,2,4,3,3,4,4,3,3,3,4,3,4,4,4,4,5,4,4,3,4,4,5,3,3,3
1,1,3,1,4,4,5,5,4,3,3,1,3,4,4,4,1,4,4,3,3,5,1,1,2,5,4,5,2,4,1,3,4,5,1,3,4,4,2,4,2,4,3,4,3,4,4,4,4,3,5,5,5,2,3,4,4,4,4,4,1,5,4,4,5
1,2,3,4,2,2,3,1,4,2,3,4,1,1,1,4,3,2,4,2,2,5,3,1,3,1,2,5,1,5,4,1,5,5,3,5,4,3,3,2,1,4,4,5,3,5,3,4,2,4,5,2,4,4,4,1,4,4,1,4,1,3,1,2,4
1,1,2,1,5,3,5,3,1,4,2,4,4,2,5,4,1,4,5,1,2,5,4,5,4,1,4,5,3,4,3,1,5,4,5,5,2,1,4,4,1,1,3,4,4,4,3,3,4,4,3,2,3,5,4,4,2,3,4,3,2,4,2,2,5
3,3,5,4,4,4,2,2,3,2,1,3,5,5,5,4,3,5,5,1,4,1,1,1,5,3,4,4,1,4,3,4,5,5,2,2,3,3,5,3,2,3,2,3,4,4,1,2,1,5,3,4,2,4,4,5,3,4,5,3,4,4,5,4,2
3,3,3,3,5,3,1,5,5,5,3,3,5,5,5,5,5,3,5,5,3,4,5,5,5,1,5,5,3,5,5,1,5,5,5,4,3,5,1,3,1,3,1,3,5,3,1,3,1,3,3,5,4,5,5,5,1,1,5,1,1,5,1,1,1
4,4,5,5,5,2,1,3,1,1,3,2,1,1,1,5,3,3,4,2,5,4,1,1,5,4,4,4,1,5,2,2,5,5,3,5,3,4,3,4,2,3,1,3,3,2,2,4,5,3,2,5,3,5,4,2,3,2,2,3,2,4,2,3,4
1,1,2,4,5,3,1,1,3,2,3,3,2,1,3,4,5,4,5,1,5,4,2,1,3,5,3,4,1,3,1,2,5,5,4,4,3,3,5,3,2,3,3,3,3,4,3,3,5,3,3,3,2,5,5,5,4,4,4,3,5,5,4,4,2
5,2,2,2,3,4,1,2,4,2,1,4,3,5,5,3,2,3,3,4,3,3,2,4,3,1,3,2,1,3,2,4,3,4,5,2,3,5,4,3,1,1,4,2,5,3,3,1,2,5,3,5,3,2,4,3,3,3,3,2,4,3,1,5,4
1,1,1,1,1,2,2,1,4,3,1,4,2,2,1,5,2,5,5,5,4,3,1,1,4,5,4,5,1,5,2,1,2,5,4,4,3,5,5,3,3,4,5,5,2,3,5,3,5,5,4,1,2,5,5,,4,4,3,3,4,3,3,5,5
4,4,4,4,3,5,5,4,5,2,3,3,2,5,2,4,4,4,4,5,5,4,3,4,4,4,5,5,1,4,2,1,3,5,4,2,4,2,5,4,3,3,2,5,5,5,4,5,5,4,3,4,4,2,2,4,3,4,3,3,3,5,5,4,5
2,2,2,5,2,4,3,2,4,3,3,2,4,4,4,4,3,4,5,1,5,2,2,1,3,5,5,5,1,4,4,4,5,3,3,4,3,5,5,3,4,4,4,1,4,3,4,2,5,5,5,2,4,5,5,5,4,4,4,3,5,4,4,4,3
1,2,4,5,1,3,1,5,3,1,3,1,5,3,5,5,2,5,5,5,3,3,2,1,1,5,4,5,1,3,2,1,5,2,3,2,1,1,3,3,1,3,2,1,5,3,3,4,5,3,5,3,5,3,5,3,3,3,3,4,1,4,5,3,2
3,3,1,4,4,4,4,4,5,3,2,3,3,3,3,2,2,4,3,1,3,2,1,1,4,3,4,4,5,3,3,4,4,4,3,3,5,3,2,2,4,2,5,3,5,1,2,1,4,3,3,3,4,5,3,4,3,3,1,3,4,5,2,2,2
2,3,4,5,5,5,5,4,2,4,3,1,2,3,3,5,3,5,4,2,4,3,1,1,3,3,3,4,3,5,1,,5,5,3,5,4,2,3,4,1,3,3,3,4,4,4,4,1,4,2,3,3,5,3,5,3,3,5,4,1,4,2,3,5
1,1,1,1,1,1,1,1,2,5,5,1,5,4,3,4,1,5,5,1,5,2,4,5,5,1,5,4,1,4,2,1,5,5,4,1,1,5,1,2,1,1,4,1,4,4,1,1,4,2,2,1,1,5,3,1,1,2,3,2,4,1,1,1,4
2,3,4,3,5,4,3,3,4,3,2,2,2,3,2,2,3,4,3,4,3,4,4,1,2,5,4,4,2,4,1,3,2,3,3,3,3,4,4,4,3,3,2,4,3,4,2,4,3,4,3,3,3,3,4,5,4,4,2,3,3,4,3,3,4
1,1,1,3,1,3,1,1,3,2,3,4,3,4,3,5,1,5,5,1,4,4,1,5,4,5,5,5,1,2,1,1,1,4,3,3,4,1,5,3,3,3,4,3,2,4,2,3,1,4,3,2,3,1,5,3,5,3,3,3,5,2,3,2,2
1,1,1,2,2,2,2,3,3,4,3,3,4,4,5,4,3,5,5,3,4,2,3,3,3,5,4,2,2,3,3,2,4,5,4,2,4,1,2,4,3,1,1,1,2,2,1,4,5,3,2,2,3,5,4,1,4,3,2,3,4,3,3,4,3
1,2,2,3,2,3,2,2,4,3,3,2,3,2,4,4,5,4,4,2,4,3,2,4,3,5,4,4,2,4,5,3,3,5,2,3,4,3,5,3,2,3,4,4,2,3,3,2,2,3,3,2,3,5,3,2,4,2,2,4,4,2,2,4,3
1,1,2,3,1,2,1,2,3,4,2,2,3,2,3,2,3,2,2,2,5,3,3,3,2,3,1,2,1,2,3,2,1,2,3,2,2,1,4,3,2,2,2,4,3,2,3,4,3,5,2,2,3,5,4,2,3,2,3,2,3,2,3,3,3
2,1,2,1,5,2,1,3,3,3,4,5,2,1,2,3,2,5,5,3,3,4,2,2,5,5,5,4,3,4,1,5,4,4,2,1,3,1,1,4,2,3,2,3,3,4,1,2,4,2,4,2,3,5,3,2,4,4,3,3,5,1,3,3,3
3,2,1,4,3,3,4,2,2,4,1,5,1,4,4,4,1,5,4,3,3,4,3,1,3,5,5,4,1,4,3,2,4,5,3,5,4,3,2,4,1,3,1,4,4,4,2,4,4,2,2,2,3,5,4,3,3,4,4,4,1,1,3,3,2
5,1,3,3,2,3,3,5,4,1,3,5,1,5,4,5,5,3,5,1,5,5,1,5,2,5,4,5,1,5,1,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,2,3,5,5,5,3,1,5,5,5,5,2,4,2,5,5,4,2
1,3,2,3,5,4,4,4,5,3,3,5,2,3,2,3,,3,3,2,1,3,2,4,2,4,5,4,2,4,1,2,4,4,4,5,3,2,4,3,2,3,2,3,3,5,2,2,3,3,2,3,5,3,4,4,4,,1,3,4,4,3,4,3
1,1,2,2,5,3,2,3,1,3,3,4,4,4,3,5,1,5,5,2,3,3,1,2,3,1,4,4,2,1,2,1,5,4,2,5,4,1,1,3,2,3,4,5,2,3,2,4,5,1,5,4,5,3,5,2,5,4,4,2,3,2,5,3,3
1,1,5,1,2,1,5,3,1,3,3,4,5,5,5,5,1,5,5,5,1,1,5,5,1,3,5,5,5,5,5,5,5,5,5,2,1,5,1,2,5,1,4,1,5,2,5,1,4,4,4,1,5,5,3,3,2,1,5,3,1,5,4,5,5
1,1,1,5,1,1,1,1,5,2,3,5,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,1,2,1,5,2,3,2,5,3,5,3,4,3,2,3,3,4,4,5,3,2,2,5,3,1,2,3,1,3,3,5,4,3,3
1,1,1,1,2,2,2,2,5,2,2,4,2,1,1,4,5,3,3,3,3,3,4,2,3,5,5,3,1,4,2,1,2,4,2,5,3,3,5,4,1,5,2,3,3,3,4,3,4,5,3,2,4,2,4,2,4,3,1,4,2,4,3,4,5
3,3,2,1,5,2,2,3,5,4,3,4,4,4,2,3,3,4,4,5,4,3,2,4,5,1,4,4,1,3,2,3,5,4,5,5,4,3,4,3,2,2,1,5,5,3,3,3,5,3,3,5,3,5,5,4,3,5,3,3,3,5,5,3,2
2,2,3,4,2,2,3,2,3,2,2,3,3,5,5,4,3,5,5,2,5,4,2,3,3,5,4,4,2,4,3,3,3,2,2,4,2,3,5,3,3,4,4,4,2,4,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,1,2,1,1,1,1,1,2,1,4,1,1,1,1,3,3,5,1,5,5,1,1,2,5,4,4,1,4,1,3,2,3,3,4,1,5,1,3,4,3,5,3,2,4,3,3,3,5,3,1,1,2,5,1,2,3,3,3,3,5,5,2,3
1,2,1,1,4,1,1,5,1,3,4,2,2,4,3,3,2,3,4,3,2,2,5,4,3,1,5,5,4,4,2,2,5,4,5,5,5,3,2,2,3,3,2,4,4,3,2,3,4,2,2,5,5,3,2,3,2,2,5,3,1,2,2,3,3
1,1,1,2,2,5,3,1,3,2,4,3,2,4,5,5,5,4,5,3,4,1,1,2,2,5,,4,1,5,1,3,4,1,3,4,3,2,5,3,1,3,2,4,3,4,3,2,5,3,4,4,3,4,4,2,3,3,2,4,2,2,4,2,3
3,3,2,4,4,3,2,2,3,4,4,2,3,1,2,5,5,2,3,5,1,2,4,5,3,1,5,5,1,5,2,2,4,4,4,5,4,3,5,4,1,1,3,3,5,5,3,3,3,2,3,5,2,3,3,1,2,2,4,3,1,1,2,4,3
2,1,3,2,2,2,2,4,1,4,4,4,2,1,2,4,1,4,4,3,2,4,4,4,2,4,3,5,2,5,2,2,5,3,3,4,2,4,2,3,2,4,2,4,5,5,3,4,2,4,4,4,4,2,4,4,4,3,3,3,1,5,5,4,5
3,2,2,4,4,4,5,4,4,4,3,5,5,5,5,4,4,4,4,4,3,4,2,1,3,5,5,4,3,4,2,3,3,4,1,2,4,2,5,3,3,4,3,5,2,4,5,2,1,4,4,2,5,4,4,2,4,3,5,3,1,5,3,5,1
1,1,2,2,4,1,1,3,2,1,4,3,5,3,5,4,2,4,4,4,3,4,2,5,4,4,4,2,3,3,1,2,2,3,3,2,3,2,3,3,1,3,2,3,5,3,3,4,3,2,4,4,4,4,5,2,4,3,5,3,3,1,4,4,4
3,3,4,4,4,4,3,3,4,4,3,2,2,2,1,2,1,2,2,1,3,2,2,5,3,2,3,3,2,4,3,1,5,4,4,3,3,5,2,2,2,1,1,1,3,2,3,2,4,2,3,3,3,5,3,2,1,1,2,2,1,5,2,2,3
1,1,1,1,1,1,1,2,2,1,1,5,1,1,1,5,1,5,5,3,2,5,3,1,1,5,5,5,1,3,1,1,5,5,5,5,1,5,1,5,4,3,4,5,5,5,3,4,4,5,5,5,5,5,5,2,2,1,3,3,5,5,1,3,2
1,2,1,1,5,3,1,1,1,3,3,1,3,5,3,4,1,2,4,5,3,3,4,5,2,5,2,5,3,3,4,3,4,5,4,5,3,3,1,3,1,3,3,4,4,3,2,1,1,2,4,3,2,2,3,3,2,3,2,3,2,4,4,3,5
2,2,4,3,3,5,4,3,3,2,4,5,2,5,3,2,2,3,3,3,5,5,3,1,2,5,5,4,4,5,3,2,3,3,4,4,4,3,3,3,2,4,3,5,4,3,4,5,3,5,2,2,3,2,4,1,4,4,,3,3,2,4,4,3
1,1,1,1,1,1,1,3,1,1,2,5,1,1,1,5,1,5,5,3,2,5,2,1,1,5,5,5,1,2,1,1,5,5,4,5,1,5,1,5,5,3,5,5,5,5,3,4,5,5,5,5,5,5,5,2,2,1,3,3,5,5,1,3,2
3,1,3,2,1,1,1,4,4,5,4,5,5,3,5,5,1,5,5,1,3,4,1,5,4,4,5,3,1,4,2,2,3,5,5,5,5,3,3,3,3,1,3,3,3,4,2,4,2,3,1,4,3,5,3,4,3,2,3,3,3,3,2,4,3
1,1,2,3,2,4,3,2,1,4,3,5,2,2,5,5,1,5,4,1,3,5,1,1,5,1,5,4,1,4,2,4,5,5,4,4,3,4,2,3,1,2,3,4,4,3,2,4,1,5,4,2,4,4,4,2,3,4,4,4,2,2,5,4,3
1,5,5,5,5,5,5,5,5,,3,3,4,3,1,1,5,5,5,5,3,3,4,3,2,4,4,4,3,5,3,4,5,4,3,4,5,4,5,3,5,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,1,4,1,3,5,1,4,2,3,1,3,1,5,1,2,1,1,5,5,3,5,3,1,5,1,5,5,3,1,1,1,4,5,3,5,5,4,1,4,1,1,3,5,5,3,3,3,3,1,5,5,3,4,3,3,3,3,5,2,3,5,5,3,5
2,1,1,3,1,1,1,1,1,1,4,3,3,2,5,2,1,3,4,1,5,4,1,4,2,4,3,4,1,4,1,2,1,3,2,5,2,2,2,4,2,3,4,4,2,3,4,2,2,4,5,2,2,2,4,2,4,5,4,3,4,2,5,4,3
3,1,2,,1,2,3,5,1,3,3,2,4,5,3,3,3,4,4,2,4,4,2,1,4,4,4,3,2,4,1,4,4,4,3,2,5,3,3,3,1,3,3,1,3,4,1,2,3,5,3,4,2,3,3,1,3,3,1,3,4,3,3,3,3
2,2,2,4,2,1,1,5,3,3,2,2,2,2,2,3,1,3,3,1,3,3,3,1,3,1,4,2,1,3,3,3,4,4,3,3,3,2,2,3,1,3,2,3,3,4,3,3,5,2,2,2,3,4,4,4,3,2,3,3,3,3,3,3,3
2,2,4,2,5,1,1,3,5,2,3,2,2,2,3,5,2,5,4,2,3,2,3,4,3,4,4,5,3,5,3,2,2,5,2,2,5,1,3,3,3,1,5,5,1,5,1,1,2,5,5,2,4,5,4,4,3,5,3,4,3,4,5,3,4
1,1,1,1,1,1,1,1,1,1,1,,1,3,3,4,1,5,4,3,3,3,1,5,1,5,5,5,1,5,1,1,1,5,3,4,1,1,1,3,1,3,1,5,3,2,3,3,1,3,5,3,5,1,5,1,4,3,3,3,1,5,2,2,1
1,1,1,1,1,2,3,2,2,2,2,3,2,4,2,3,1,3,4,2,5,4,1,2,3,1,2,5,1,5,2,1,5,4,2,3,2,2,5,4,2,4,3,4,1,3,2,1,4,3,3,2,3,3,3,2,4,5,5,3,5,5,5,4,1
2,3,2,1,5,4,2,1,2,3,3,2,2,5,5,3,3,3,4,4,3,2,2,2,4,5,3,4,2,4,1,3,5,5,2,3,3,2,5,4,1,3,3,4,3,4,2,3,1,5,5,2,3,5,5,2,4,4,3,3,2,4,3,4,3
2,2,2,2,3,1,2,1,1,1,5,5,4,5,3,5,4,4,4,3,5,3,1,1,3,5,3,3,1,3,2,3,4,4,2,5,3,2,1,4,2,5,4,5,2,5,4,3,3,3,3,1,3,3,4,2,5,4,3,4,5,2,4,2,2
3,5,1,3,2,5,2,4,5,3,4,2,1,3,3,2,1,4,2,3,1,5,5,1,2,1,4,3,2,2,2,1,5,3,5,2,3,4,1,2,1,2,2,3,3,3,2,2,4,1,1,2,2,3,4,4,2,1,3,2,2,5,2,3,4
1,5,1,1,3,5,3,3,4,2,3,2,3,4,2,2,1,5,5,1,3,3,1,1,2,5,3,4,1,5,2,5,5,5,2,2,4,3,5,2,1,5,4,4,3,3,3,3,4,5,3,3,2,4,5,5,4,5,1,3,5,5,3,3,2
2,3,3,2,5,5,5,4,4,3,4,4,4,4,2,4,1,4,4,2,4,2,1,4,2,2,4,3,1,4,3,4,1,4,2,4,4,2,5,3,2,3,2,2,4,4,3,2,3,4,2,5,3,3,3,4,4,3,3,3,4,2,4,3,3
2,1,1,1,1,1,1,1,4,3,1,4,3,3,3,4,1,4,4,1,2,4,5,5,4,4,5,2,1,5,4,1,4,5,5,2,1,5,2,1,1,1,1,1,5,2,1,1,2,1,5,5,4,4,5,5,1,1,5,1,2,4,1,3,3
3,3,4,1,2,5,5,,5,4,3,1,1,5,5,5,1,2,4,1,3,2,2,2,4,3,3,4,4,2,1,4,3,4,2,5,3,1,5,3,2,2,3,3,4,3,1,1,3,5,5,5,1,5,5,2,4,4,3,3,2,4,1,4,1
1,1,2,2,3,3,2,2,2,5,3,2,2,3,4,3,2,4,4,3,4,2,2,4,4,2,4,4,1,4,2,2,3,1,4,5,3,3,3,4,2,2,3,2,3,2,1,3,4,3,2,3,3,5,4,3,3,4,4,3,2,3,4,3,4
2,2,2,2,5,1,2,3,2,3,4,3,3,3,3,5,1,3,4,3,3,4,2,2,5,3,4,4,4,4,1,2,3,4,4,4,5,3,1,3,1,3,3,4,4,4,3,3,4,3,2,3,4,4,2,4,3,3,4,3,3,4,4,4,4
3,2,2,2,1,3,3,3,5,1,3,3,1,2,5,5,1,4,1,2,5,5,4,3,3,5,4,5,1,1,1,1,3,5,2,5,5,1,5,4,2,5,3,4,2,,4,5,3,5,5,5,5,1,5,5,5,4,3,3,3,5,5,5,5
2,1,2,1,5,1,1,4,1,3,3,3,2,1,2,3,3,2,3,4,3,3,1,5,2,1,4,4,1,4,4,4,5,4,5,5,3,5,2,3,3,4,2,3,5,4,4,3,3,5,5,5,4,4,4,4,3,2,3,3,3,5,4,3,2
3,1,2,2,1,2,4,3,1,3,3,3,3,5,4,4,3,4,4,2,4,4,2,1,3,4,3,3,2,3,1,4,4,4,3,2,4,3,3,3,2,3,2,2,3,4,2,3,3,4,3,3,2,3,3,1,3,3,2,3,3,3,3,3,2
2,1,1,2,3,3,4,2,3,1,3,3,3,2,4,3,2,4,5,4,3,3,3,1,3,4,5,4,1,5,2,3,5,5,3,5,3,3,3,4,1,5,3,3,2,4,3,3,3,3,4,2,5,2,3,3,4,4,4,3,4,5,5,4,2
1,2,3,4,5,5,1,3,5,3,2,3,2,1,2,4,1,2,5,1,2,4,2,3,3,3,4,4,3,4,1,4,4,4,3,5,3,4,2,3,2,4,2,3,4,4,3,3,3,3,3,4,5,3,3,3,5,3,2,4,2,4,3,3,2
2,2,3,2,4,5,4,2,4,3,3,4,4,2,3,3,3,4,4,2,4,3,1,3,2,1,3,4,1,5,2,3,4,5,2,5,4,2,1,3,2,5,3,3,4,4,4,3,1,4,4,3,4,4,4,5,4,4,3,4,5,4,5,3,3
1,4,4,2,4,4,4,2,4,4,3,2,2,2,3,3,1,2,4,4,4,3,1,4,5,5,4,4,4,5,1,3,5,3,3,5,5,4,3,3,1,3,3,3,4,5,5,4,4,5,3,4,5,4,3,4,3,4,3,3,1,5,4,4,3
1,5,5,5,5,5,5,3,5,4,3,3,1,1,3,1,1,4,4,5,5,5,2,5,1,5,1,4,1,4,3,1,2,3,1,5,1,2,1,3,1,5,3,4,5,4,4,2,3,4,5,5,3,1,2,1,4,5,5,4,1,1,4,2,2
3,1,2,2,2,4,3,3,3,3,3,3,2,4,2,3,1,3,4,3,2,3,4,2,2,2,2,4,2,3,3,3,3,2,3,5,3,3,1,3,1,3,4,4,3,3,3,3,2,3,3,2,2,3,3,3,4,3,3,4,3,4,4,2,2
3,1,2,3,1,2,1,1,3,4,2,2,2,2,3,4,5,3,4,2,1,2,4,5,5,5,5,4,1,5,2,1,3,3,5,2,2,5,2,3,2,1,2,2,2,2,1,2,5,3,1,3,2,4,3,3,2,1,1,3,2,5,1,2,3
4,3,3,3,1,5,1,3,5,1,3,4,2,5,3,5,3,3,3,2,5,1,1,5,,1,3,5,5,5,3,5,5,4,3,5,5,2,3,3,3,5,3,2,5,3,3,3,3,3,4,5,4,3,4,5,4,4,2,3,4,3,3,4,4
1,1,2,2,4,4,3,2,3,1,2,3,3,1,2,5,3,3,4,5,5,3,1,5,4,1,4,4,3,4,2,4,5,5,3,5,3,1,1,4,4,4,2,5,4,5,3,2,4,3,4,3,3,2,4,1,4,4,4,4,2,4,3,2,3
1,1,1,4,2,2,2,4,4,5,3,2,3,4,2,2,2,4,4,3,2,3,2,3,3,1,3,4,1,5,4,3,1,5,3,5,2,3,4,3,2,3,2,3,3,3,3,3,3,5,2,2,3,5,3,5,4,4,3,3,2,3,3,3,2
2,1,1,1,4,3,1,2,3,4,3,2,2,5,2,5,1,4,4,3,2,2,1,1,5,3,5,4,3,1,5,1,4,5,3,3,3,1,1,3,1,3,4,2,4,3,2,3,4,2,3,4,2,5,1,3,4,2,2,3,3,5,2,3,2
